Run	BioSample	Name	Breed	Category	size_MB	bases	LibraryLayout
SRR1062072	SAMN02485612	Village Dog - Vietnam 4	Village Dog - Vietnam	village	2691	5357020810	PAIRED
SRR1061747	SAMN02485575	Village Dog - China 41	Village Dog - China	village	3411	5733192400	PAIRED
SRR1061733	SAMN02485568	Village Dog - China 5	Village Dog - China	village	3492	5820055400	PAIRED
SRR1061739	SAMN02485571	Village Dog - China 8	Village Dog - China	village	3427	5859863600	PAIRED
SRR1061753	SAMN02485576	Village Dog - China 9	Village Dog - China	village	3604	6121061400	PAIRED
SRR14766742	SAMN04851103	Village Dog - China 40	Village Dog - China	village	3715	6259759800	PAIRED
SRR2827613	SAMN03168393	Grey Wolf 26	Grey Wolf	wild	3488	5628976734	PAIRED
SRR2827617	SAMN03168395	Grey Wolf 27	Grey Wolf	wild	4348	7071295098	PAIRED
SRR1518487	SAMN02921301	Coyote 1	Coyote	wild	4895	7839825400	PAIRED
SRR1518530	SAMN02921320	Grey Wolf 17	Grey Wolf	wild	5649	8480914800	PAIRED
SRR2149881	SAMN03366711	Grey Wolf 5	Grey Wolf	wild	6077	9095281800	PAIRED
SRR2149863	SAMN03366709	Dingo	Dingo	wild	8241	9322898700	SINGLE
