Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR7107521,2018-05-16 00:07:03,2018-05-10 14:58:39,537787309,107557461800,537787309,200,38494,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/107/SRR7107521.sralite.1,SRX4035758,Illumina sequencing of Jindo Dog,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP144493,PRJNA448733,,448733,DRS001112,SAMD00009664,simple,9615,Canis lupus familiaris,SAMD00009664,,,,,,,no,,,,,NHGRI,SRA699439,,public,0BFDDBE5DA9A9FAEB72C6CA112CE11AA,0CB7FE21F60ADD43F58789D59077FBEF
SRR7107522,2018-05-14 00:07:22,2018-05-07 09:53:25,200921964,60448918464,200921964,300,29126,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/107/SRR7107522.sralite.1,SRX4035759,HT001,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP144493,PRJNA448733,,448733,ERS1575629,SAMEA103135918,simple,9615,Canis lupus familiaris,SAMEA103135918,,,,,,,no,,,,,NHGRI,SRA699439,,public,14BF874DFF84DB2F3BA90178EF36C1A9,310F33FBD6A81B5F3A51B89ADA6EFC9A
SRR7107523,2018-05-16 00:07:03,2018-05-10 12:07:55,203589257,40385099861,203589257,198,17484,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/107/SRR7107523.sralite.1,SRX4035760,LB1919,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP144493,PRJNA448733,,448733,ERS1624528,SAMEA103935360,simple,9615,Canis lupus familiaris,SAMEA103935360,,,,,,,no,,,,,NHGRI,SRA699439,,public,91CFC3118BB9415147E156F3EFB8CF99,19F4BBAD4E1300D86FF46E32C2DFD14E
SRR7107524,2018-05-14 00:07:22,2018-05-07 09:02:54,111521847,33433096178,111521847,299,13786,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/107/SRR7107524.sralite.1,SRX4035761,BU002,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP144493,PRJNA448733,,448733,ERS1638210,SAMEA103949042,simple,9615,Canis lupus familiaris,SAMEA103949042,,,,,,,no,,,,,NHGRI,SRA699439,,public,A105411982DB0EAEEC7BAA3C20EF5C2C,40598733FD29B8F134E7F65BC044F17A
SRR7107525,2018-05-16 00:07:03,2018-05-10 12:07:58,182019946,54770207809,182019946,300,25183,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/107/SRR7107525.sralite.1,SRX4035762,GR0892,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP144493,PRJNA448733,,448733,ERS1681145,SAMEA104016307,simple,9615,Canis lupus familiaris,SAMEA104016307,,,,,,,no,,,,,NHGRI,SRA699439,,public,CCA27C813ADC21A4E51FD4CDEE0A8249,6E6C5C84FDDAC2788DC25A7D5C63D421
SRR7107526,2018-05-10 00:06:32,2018-05-03 21:13:03,250303292,75324647758,250303292,300,35272,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/107/SRR7107526.sralite.1,SRX4035763,MA0163,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP144493,PRJNA448733,,448733,ERS1695941,SAMEA104032048,simple,9615,Canis lupus familiaris,SAMEA104032048,,,,,,,no,,,,,NHGRI,SRA699439,,public,A57101475AAE2615B63B6A44C5D4D393,2AE7E6E46A3AE23E77247A70D22B9A11
SRR7107527,2018-05-10 00:06:32,2018-05-03 22:32:30,158906628,40044470256,158906628,252,13320,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/107/SRR7107527.sralite.1,SRX4035764,NW062,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP144493,PRJNA448733,,448733,ERS1755443,SAMEA104091550,simple,9615,Canis lupus familiaris,SAMEA104091550,,,,,,,no,,,,,NHGRI,SRA699439,,public,D70294B8B059CEEB8965735EC8AD1622,AFD3B1DC5C16C8E216A8DEAB58B982FA
SRR7107528,2018-05-10 00:06:32,2018-05-03 22:21:39,151234569,38111111388,151234569,252,13058,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/107/SRR7107528.sralite.1,SRX4035765,NW152,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP144493,PRJNA448733,,448733,ERS1755444,SAMEA104091551,simple,9615,Canis lupus familiaris,SAMEA104091551,,,,,,,no,,,,,NHGRI,SRA699439,,public,54257ACB5970F1D5D4FAF7B25AC842DA,958C101CF4E31E955F7D1F3E72FE0EC8
SRR7107529,2018-05-10 00:06:32,2018-05-03 22:36:05,141090584,35554827168,141090584,252,12142,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/107/SRR7107529.sralite.1,SRX4035766,NW206,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP144493,PRJNA448733,,448733,ERS1755445,SAMEA104091552,simple,9615,Canis lupus familiaris,SAMEA104091552,,,,,,,no,,,,,NHGRI,SRA699439,,public,17BB2209860DF7B51164C52270213F14,9C1A33C5165275E6E893E74028F7A3BC
SRR7107530,2018-05-10 00:06:32,2018-05-03 22:25:06,153098470,38580814440,153098470,252,13256,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/107/SRR7107530.sralite.1,SRX4035767,NW255,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP144493,PRJNA448733,,448733,ERS1755446,SAMEA104091553,simple,9615,Canis lupus familiaris,SAMEA104091553,,,,,,,no,,,,,NHGRI,SRA699439,,public,D5A0485A7F4DD8B7A288D23A8EE6A273,964FF277E72DB880E901E6E8A26401D4
