Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR170575,2013-01-24 12:33:17,2016-06-28 15:26:31,108385762,21677152400,108385762,200,10088,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/ERR000/170/ERR170575.sralite.1,ERX146464,5482450,WGS,RANDOM,GENOMIC,PAIRED,395,129,ILLUMINA,Illumina HiSeq 2000,ERP000217,PRJEB2162,,204064,ERS147935,SAMEA1521940,simple,9615,Canis lupus familiaris,SAMEA1521940,,,,,,,no,,,,,SC,ERA163278,,public,505EF7F8EFFA5B52C2BF0E8AAA588A77,7F21EDEBCBD6993C713899C1E06E6D22
ERR175558,2013-08-24 01:33:29,2016-06-28 15:20:31,183110627,36622125400,183110627,200,17970,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/ERR000/175/ERR175558.sralite.1,ERX151704,5482450,WGS,RANDOM,GENOMIC,PAIRED,381,114,ILLUMINA,Illumina HiSeq 2000,ERP000217,PRJEB2162,,204064,ERS147935,SAMEA1521940,simple,9615,Canis lupus familiaris,SAMEA1521940,,,,,,,no,,,,,SC,ERA166504,,public,3684FA76C120F2BD28A98A076CAEFCBD,3352A5474345B13189C60AD921FE0707
SRR776307,2013-04-15 00:00:00,2013-03-17 22:42:16,66705197,5870057336,66705197,88,4301,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR000/776/SRR776307/SRR776307.sralite.1,SRX249948,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019470,PRJNA192935,,192935,SRS401789,SAMN01974489,simple,9615,Canis lupus familiaris,GW4,,,,,,,no,,,,,"KUNMING INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF S",SRA068869,,public,432237566877E42A6A34CC80CFFA1E6C,958DA689DD9F3924C7E9E4CD07FBD9F8
SRR776429,2013-04-15 00:00:00,2013-03-18 09:52:49,20174719,1775375272,20174719,88,1253,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR000/776/SRR776429/SRR776429.sralite.1,SRX249987,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019470,PRJNA192935,,192935,SRS401789,SAMN01974489,simple,9615,Canis lupus familiaris,GW4,,,,,,,no,,,,,"KUNMING INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF S",SRA068869,,public,86208BCEE90322283D1F006251E1AA44,FFDCED0841C7E7E249D64825B617F371
SRR776430,2013-04-15 00:00:00,2013-03-22 06:18:48,40306422,3546965136,40306422,88,2516,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR000/776/SRR776430/SRR776430.sralite.1,SRX249988,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019470,PRJNA192935,,192935,SRS401789,SAMN01974489,simple,9615,Canis lupus familiaris,GW4,,,,,,,no,,,,,"KUNMING INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF S",SRA068869,,public,1B3170A008EC76A599CA12E899B9F777,600A618D2D34CD0A19485F1F35BE5244
SRR776431,2013-04-15 00:00:00,2013-03-22 13:00:26,10798688,950284544,10798688,88,699,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR000/776/SRR776431/SRR776431.sralite.1,SRX250030,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019470,PRJNA192935,,192935,SRS401789,SAMN01974489,simple,9615,Canis lupus familiaris,GW4,,,,,,,no,,,,,"KUNMING INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF S",SRA068869,,public,787974B87DF1E3B5A49674C8BD3DBD5A,D84B61D3528FC8ACD651F55F3D948D6D
SRR776432,2013-04-15 00:00:00,2013-03-24 03:48:45,26443318,3966497700,26443318,150,2818,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR000/776/SRR776432/SRR776432.sralite.1,SRX250031,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019470,PRJNA192935,,192935,SRS401789,SAMN01974489,simple,9615,Canis lupus familiaris,GW4,,,,,,,no,,,,,"KUNMING INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF S",SRA068869,,public,EBAB8613B716082481FF685C26CD4B0E,D5232A976E4EEA353FC5D746A91E50ED
SRR776433,2013-04-15 00:00:00,2013-03-24 03:44:54,15070269,2260540350,15070269,150,1631,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR000/776/SRR776433/SRR776433.sralite.1,SRX250032,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019470,PRJNA192935,,192935,SRS401789,SAMN01974489,simple,9615,Canis lupus familiaris,GW4,,,,,,,no,,,,,"KUNMING INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF S",SRA068869,,public,3C4235A40531BACDAB6E970EB52E3B4E,C335D009C3A9003B77A5CCA8C2428E93
SRR776434,2013-04-15 00:00:00,2013-03-26 03:36:48,35029592,5254438800,35029592,150,3812,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR000/776/SRR776434.sralite.1,SRX250033,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019470,PRJNA192935,,192935,SRS401789,SAMN01974489,simple,9615,Canis lupus familiaris,GW4,,,,,,,no,,,,,"KUNMING INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF S",SRA068869,,public,4DE8DE20D207FB06DE1EB0774B10E94D,63DFE9EC509404CC8F2E74A8CFEA197C
SRR776435,2013-04-15 00:00:00,2013-03-29 01:32:21,39501298,3476114224,39501298,88,2388,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR000/776/SRR776435.sralite.1,SRX250034,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019470,PRJNA192935,,192935,SRS401789,SAMN01974489,simple,9615,Canis lupus familiaris,GW4,,,,,,,no,,,,,"KUNMING INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF S",SRA068869,,public,B73D8A91746BB5A3B247141DD5F5C754,42336E2E0689E953FE75230446DE7B06
