Name	Breed	BioProject	BioSample	Category
Andean Fox	Andean Fox	PRJNA232497	SAMN02487034	wild
Coyote 1	Coyote	PRJNA255370	SAMN02921301	wild
Coyote 2	Coyote	PRJNA255370	SAMN02921302	wild
Coyote 3	Coyote	PRJNA255370	SAMN02921303	wild
Dhole	Dhole	PRJNA266585	SAMN03168405	wild
Dingo	Dingo	PRJNA274504	SAMN03366709	wild
Golden Jackal	Golden Jackal	PRJNA274504	SAMN03366713	wild
Grey Wolf 1	Grey Wolf	PRJNA192935	SAMN01974486	wild
Grey Wolf 2	Grey Wolf	PRJNA192935	SAMN01974487	wild
Grey Wolf 3	Grey Wolf	PRJNA192935	SAMN01974488	wild
Grey Wolf 4	Grey Wolf	PRJNA192935	SAMN01974489	wild
Grey Wolf 5	Grey Wolf	PRJNA274504	SAMN03366711	wild
Grey Wolf 6	Grey Wolf	PRJNA274504	SAMN03366712	wild
Grey Wolf 7	Grey Wolf	PRJNA274504	SAMN03366710	wild
Grey Wolf 8	Grey Wolf	PRJNA288568	SAMN03801694	wild
Grey Wolf 9	Grey Wolf	PRJNA255370	SAMN02921310	wild
Grey Wolf 10	Grey Wolf	PRJNA255370	SAMN02921311	wild
Grey Wolf 11	Grey Wolf	PRJNA255370	SAMN02921312	wild
Grey Wolf 12	Grey Wolf	PRJNA255370	SAMN02921313	wild
Grey Wolf 13	Grey Wolf	PRJNA255370	SAMN02921314	wild
Grey Wolf 14	Grey Wolf	PRJNA255370	SAMN02921315	wild
Grey Wolf 15	Grey Wolf	PRJNA255370	SAMN02921316	wild
Grey Wolf 16	Grey Wolf	PRJNA255370	SAMN02921319	wild
Grey Wolf 17	Grey Wolf	PRJNA255370	SAMN02921320	wild
Grey Wolf 18	Grey Wolf	PRJNA255370	SAMN02921321	wild
Grey Wolf 19	Grey Wolf	PRJNA255370	SAMN02921322	wild
Grey Wolf 20	Grey Wolf	PRJNA266585	SAMN03168394	wild
Grey Wolf 21	Grey Wolf	PRJNA266585	SAMN03168397	wild
Grey Wolf 22	Grey Wolf	PRJNA266585	SAMN03168399	wild
Grey Wolf 23	Grey Wolf	PRJNA266585	SAMN03168396	wild
Grey Wolf 24	Grey Wolf	PRJNA266585	SAMN03168398	wild
Grey Wolf 25	Grey Wolf	PRJNA266585	SAMN03168400	wild
Grey Wolf 26	Grey Wolf	PRJNA266585	SAMN03168393	wild
Grey Wolf 27	Grey Wolf	PRJNA266585	SAMN03168395	wild
Grey Wolf (Canis Lupus chanco) 1	Grey Wolf (Canis Lupus chanco)	PRJNA448733	SAMN03652997	wild
Grey Wolf (Canis Lupus chanco) 2	Grey Wolf (Canis Lupus chanco)	PRJNA448733	SAMN03653003	wild
Grey Wolf (Canis Lupus chanco) 3	Grey Wolf (Canis Lupus chanco)	PRJNA448733	SAMN03652998	wild
Grey Wolf (Canis Lupus chanco) 4	Grey Wolf (Canis Lupus chanco)	PRJNA448733	SAMN03653001	wild
Grey Wolf (Canis Lupus chanco) 5	Grey Wolf (Canis Lupus chanco)	PRJNA448733	SAMN03653004	wild
Grey Wolf (Canis Lupus chanco) 6	Grey Wolf (Canis Lupus chanco)	PRJNA448733	SAMN03652999	wild
Grey Wolf (Canis Lupus chanco) 7	Grey Wolf (Canis Lupus chanco)	PRJNA448733	SAMN03653000	wild
Grey Wolf (Canis Lupus chanco) 8	Grey Wolf (Canis Lupus chanco)	PRJNA448733	SAMN03653002	wild
Iberian Wolf (Canis lupus signatus)	Iberian Wolf (Canis lupus signatus)	PRJNA318403	SAMN04851099	wild
Red Wolf 1	Red Wolf	PRJNA255370	SAMN02921317	wild
Red Wolf 2	Red Wolf	PRJNA255370	SAMN02921318	wild
Village Dog - Aboriginal Camp Dog	Village Dog - Aboriginal Camp Dog	PRJEB2162	SAMEA1521940	village
Village Dog - Borneo 1	Village Dog - Borneo	PRJNA232497	SAMN02485592	village
Village Dog - Borneo 2	Village Dog - Borneo	PRJNA232497	SAMN02485593	village
Village Dog - Borneo 3	Village Dog - Borneo	PRJNA232497	SAMN02485594	village
