Supplementary Data 1. Catalog of the 722 canids genomes
Name_ID_Study	Name_ID_SRA	Breed/CommonName	BioProject	BioSample	Sex	CoverageAll	CoverageX	CoverageRatio	AnalysisName_Phylo	Phylo_Results	Phylo_Bootstrap	Phylo_Notes	Genotyped on Illumina canine HD array	Used to do WGS/SNP chip comparison	Other_Information
Afghan Hound 1	AfghanHound01	Afghan Hound	PRJNA208087	SAMN02194722	M	28.370799999999999	15.3887	1.8436125208757075	Afghan Hound 1	Afghan Hound	100				Clone of SCN Donor
Afghan Hound 2	AfghanHound03	Afghan Hound	PRJNA232497	SAMN02485564	F	7.6433299999999997	7.7159800000000001	0.99058447533560212	Afghan Hound 2	Afghan Hound	100				
Afghan Hound 3	AfghanHound04	Afghan Hound	PRJNA266585	SAMN03168377	M	17.566099999999999	9.9233100000000007	1.7701855530060027	Afghan Hound 3	Afghan Hound	100				
Airedale Terrier 1	AiredaleTerrier01	Airedale Terrier	PRJNA263947	SAMN03580381	M	15.5718	9.1424500000000002	1.703241472471821	Airedale Terrier 1	Airedale Terrier	100				
Airedale Terrier 2	AiredaleTerrier02	Airedale Terrier	PRJNA263947	SAMN03580390	F	34.661099999999998	35.084299999999999	0.98793762452150957	Airedale Terrier 2	Airedale Terrier	100				
Airedale Terrier 3	AiredaleTerrier05	Airedale Terrier	PRJNA263947	SAMN04196850	M	23.947600000000001	13.373900000000001	1.7906220324662214	Airedale Terrier 3	Airedale Terrier	100				
Airedale Terrier 4	TA001	Airedale Terrier	PRJEB16012	SAMEA4506896	M	24.9529	13.8024	1.8078667478119745	Airedale Terrier 4	Airedale Terrier	100				
Alaskan Husky 1	AlaskanHusky01	Alaskan Husky	PRJEB9590	SAMEA3449656	M	16.607199999999999	9.3263200000000008	1.780680911656473	Alaskan Husky 1	outside Siberian Husky clade	100			
Alaskan Husky 2	AlaskanHusky02	Alaskan Husky	PRJEB9591	SAMEA3449657	M	12.9139	7.1669999999999998	1.8018557276405749	Alaskan Husky 2	Siberian Husky	100			
Alaskan Malamute 1	AM007	Alaskan Malamute	PRJEB16012	SAMEA104091571	M	17.048400000000001	9.6414899999999992	1.7682329183559804	Alaskan Malamute 1	Alaskan Malamute	100				
Alaskan Malamute 2	AlaskanMalamute01	Alaskan Malamute	PRJNA448733	SAMN08872810	F	45.771099999999997	46.6282	0.98161841975456909	Alaskan Malamute 2	Alaskan Malamute	100				
Alaskan Malamute 3	AlaskanMalamute02	Alaskan Malamute	PRJNA266585	SAMN03168378	F	16.368500000000001	16.483699999999999	0.99301127780777387	Alaskan Malamute 3	Alaskan Malamute	100				
Alpine Dachsbracke	Bern_AlpineDachsbracke	Alpine Dachsbracke	PRJEB14840	SAMEA4346711	M	34.944899999999997	20.4969	1.7048870804853415	Alpine Dachsbracke	with Bavarian Hound outside Dachshund clade	64	Breed not available for comparison			
